Machine_ID,cycle,Timestamp,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
M001,1,2026-01-01 00:00:00,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0
M001,2,2026-01-01 00:01:00,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0
M001,3,2026-01-01 00:02:00,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0
M001,4,2026-01-01 00:03:00,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0
M001,5,2026-01-01 00:04:00,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0
M001,6,2026-01-01 00:05:00,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0
M001,7,2026-01-01 00:06:00,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0
M001,8,2026-01-01 00:07:00,L,298.9,309.1,2861,4.6,143,0,0,1,0,0,1
M001,9,2026-01-01 00:08:00,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0
M001,10,2026-01-01 00:09:00,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
M001,11,2026-01-01 00:10:00,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0
M001,12,2026-01-01 00:11:00,L,298.9,309.0,1410,65.7,191,0,0,1,1,0,1
M001,13,2026-01-01 00:12:00,L,298.8,308.9,1455,41.3,208,1,0,0,0,0,1
M001,14,2026-01-01 00:13:00,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
M001,15,2026-01-01 00:14:00,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
M001,16,2026-01-01 00:15:00,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
M001,17,2026-01-01 00:16:00,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0
M001,18,2026-01-01 00:17:00,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
M001,19,2026-01-01 00:18:00,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
M001,20,2026-01-01 00:19:00,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
M001,21,2026-01-01 00:20:00,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
M001,22,2026-01-01 00:21:00,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
M001,23,2026-01-01 00:22:00,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
M001,24,2026-01-01 00:23:00,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0
M001,25,2026-01-01 00:24:00,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
M001,26,2026-01-01 00:25:00,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
M001,27,2026-01-01 00:26:00,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
M001,28,2026-01-01 00:27:00,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
M001,29,2026-01-01 00:28:00,L,298.4,308.2,1282,60.7,216,0,0,0,1,0,1
M001,30,2026-01-01 00:29:00,L,298.3,308.1,1412,52.3,218,0,0,0,1,0,1
M001,31,2026-01-01 00:30:00,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0
M001,32,2026-01-01 00:31:00,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
M001,33,2026-01-01 00:32:00,L,298.4,308.3,1433,62.3,20,0,0,1,0,0,1
M001,34,2026-01-01 00:33:00,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0
M001,35,2026-01-01 00:34:00,M,298.2,308.5,2678,10.7,86,0,0,1,0,0,1
M001,36,2026-01-01 00:35:00,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0
M001,37,2026-01-01 00:36:00,M,298.4,308.7,1421,60.7,119,0,0,1,0,0,1
M001,38,2026-01-01 00:37:00,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0
M001,39,2026-01-01 00:38:00,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0
M001,40,2026-01-01 00:39:00,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0
M001,41,2026-01-01 00:40:00,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0
M001,42,2026-01-01 00:41:00,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0
M001,43,2026-01-01 00:42:00,L,298.0,308.2,1348,58.8,202,0,0,0,1,0,1
M001,44,2026-01-01 00:43:00,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0
M001,45,2026-01-01 00:44:00,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0
M001,46,2026-01-01 00:45:00,L,298.0,308.3,1362,56.8,216,0,0,0,1,0,1
