Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
USER-001,L,300.17,310.19,1536,46.98,9,0,0,0,0,0
USER-002,H,299.4,311.14,1392,41.47,61,0,0,0,0,0
USER-003,M,300.18,309.86,1513,57.52,171,0,0,1,0,0
USER-004,M,296.02,309.28,1431,33.53,215,1,0,0,0,0
USER-005,L,299.56,310.31,1520,33.28,123,0,0,0,0,0
USER-006,L,300.71,309.68,1619,35.2,128,0,0,0,0,0
USER-007,L,302.96,311.67,1785,23.01,26,0,0,0,0,0
USER-008,H,298.96,309.54,1277,35.79,107,0,0,0,0,0
USER-009,M,298.38,308.11,1169,66.99305696379274,224,1,0,0,1,0
USER-010,M,299.0,309.86,1149,41.2,58,0,0,0,0,0
USER-011,L,301.83,312.4,1473,42.73,65,0,0,0,0,0
USER-012,H,300.66,310.57,1606,55.01,91,0,0,1,0,0
USER-013,M,298.94,307.92,1551,47.6,5,0,0,0,0,0
USER-014,L,301.03,309.21,1388,35.38,77,0,0,0,0,0
USER-015,L,300.19,309.65,1463,32.81,51,0,0,0,0,0
USER-016,L,301.94,312.97,1411,43.94,79,0,0,0,0,0
USER-017,L,298.6,308.86,1394,29.44,29,0,0,0,0,0
USER-018,M,299.34,307.85,1653,54.65,214,1,0,1,0,0
USER-019,L,299.22,309.43,1564,49.44,142,0,0,0,0,0
USER-020,L,297.07,307.53,1375,36.25,163,0,0,0,0,0
USER-021,M,300.59,309.53,1662,26.29,189,0,0,0,0,0
USER-022,L,300.52,310.7,1112,57.79607480182216,208,1,0,0,1,0
USER-023,L,300.01,310.08,1646,39.08,21,0,0,0,0,0
USER-024,L,299.53,308.16,1613,49.9,129,0,0,0,0,0
USER-025,L,297.17,307.6,1351,27.24,141,0,0,0,0,0
USER-026,M,299.16,309.83,1399,35.2,179,0,0,0,0,0
USER-027,L,299.31,310.61,1635,40.04,104,0,0,0,0,0
USER-028,M,298.4,309.66,1610,40.38,31,0,0,0,0,0
USER-029,M,299.68,308.03,1496,36.4,68,0,0,0,0,0
USER-030,L,300.81,309.68,1521,44.98,87,0,0,0,0,0
USER-031,M,303.77,314.39,1730,31.46,155,0,0,0,0,0
USER-032,L,300.35,310.97,1394,38.86,137,0,0,0,0,0
USER-033,L,300.52,311.14,1598,40.96,85,0,0,0,0,0
USER-034,H,299.85,314.47,1464,44.12,237,1,0,0,0,0
USER-035,H,296.16,306.85,1461,45.69,145,0,0,0,0,0
USER-036,M,299.95,311.31,1698,31.0,57,0,0,0,0,0
USER-037,L,300.12,311.26,1649,27.73,24,0,0,0,0,0
USER-038,L,304.93,315.71,977,62.84598137153679,193,0,0,0,1,0
USER-039,M,299.62,309.24,1735,42.66,59,0,0,0,0,0
USER-040,L,300.6,311.51,1504,34.01,39,0,0,0,0,0
USER-041,L,299.93,309.0,1623,52.41,45,0,0,0,0,0
USER-042,L,297.66,307.38,1444,40.93,68,0,0,0,0,0
USER-043,L,302.29,311.71,1558,49.43,42,0,0,0,0,0
USER-044,H,301.5,311.6,1477,40.54,215,1,0,0,0,0
USER-045,L,301.58,314.36,1517,56.49,19,0,0,0,0,0
USER-046,M,298.18,305.94,1607,54.04,126,0,0,1,0,0
USER-047,L,302.81,313.63,1353,38.01,98,0,0,0,0,0
USER-048,M,297.2,305.26,1877,47.77,236,1,0,1,0,0
USER-049,M,301.17,310.6,1319,45.16,27,0,0,0,0,0
USER-050,L,304.38,315.69,1281,50.95,95,0,0,0,0,0
USER-051,H,298.02,308.1,1708,32.28,233,1,0,0,0,0
USER-052,M,298.87,307.58,1642,45.49,208,1,0,0,0,0
USER-053,H,300.2,309.34,1612,48.47,196,0,0,0,0,0
USER-054,H,298.99,309.81,1613,25.93,62,0,0,0,0,0
USER-055,M,296.9,306.02,1498,30.53,41,0,0,0,0,0
USER-056,H,300.14,310.4,988,68.15800811219663,214,1,0,0,1,0
